"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.519173958E0,-5.935019270E-1,5.805472380E-1,1.050818328E0
1.539145958E0,-4.570778708E-1,4.266771734E-2,1.506068505E0
1.559116958E0,-7.329164685E-1,-2.454494485E-1,1.210341480E0
1.579088958E0,-9.439687208E-1,-8.507757246E-2,-2.780935764E-2
1.599060958E0,-8.358341883E-1,-3.481549144E-2,-1.450677831E0
1.619031958E0,1.525811373E-1,1.560440594E-1,-2.467316260E0
1.639003958E0,7.298644412E-1,-5.873411179E-2,-1.836653121E0
1.658975958E0,8.080890039E-1,-9.516431183E-1,-1.663924617E-1
1.678947958E0,6.783283250E-1,-1.895716139E0,-1.016246080E-3
1.698918958E0,2.681111185E-1,-2.419872829E0,-1.533864999E0
1.718890958E0,-2.063021936E-2,-1.993880365E0,-3.258784845E0
1.738862958E0,-4.212384954E-1,-1.159654891E0,-3.597343894E0
1.758833958E0,-8.171825206E-1,-8.087055928E-1,-2.746948823E0
1.778805958E0,-4.554563283E-1,-9.883963770E-1,-2.268147231E0
1.798777958E0,-3.217492905E-1,-2.894251880E-1,-1.948060706E0
1.818749958E0,1.566918395E-1,5.112404832E-1,-1.646911558E0
1.838720958E0,1.169511470E0,1.104139964E0,-9.072376084E-1
1.858692958E0,1.584369447E0,1.644262185E0,2.523371762E-1
1.878664958E0,1.356905888E0,1.476035451E0,1.483042755E0
1.898635958E0,1.375903345E0,1.046877304E0,2.619555536E0
1.918607958E0,1.986929195E0,5.182691288E-1,3.364168044E0
1.938579958E0,1.621374867E0,2.295187095E-1,3.857692925E0
1.958551958E0,8.937043009E-1,1.321567217E-1,3.838617554E0
1.978522958E0,8.981662381E-1,6.364173836E-1,2.706338741E0
1.998494958E0,1.233798902E0,1.203123093E0,1.318869896E0
2.018466958E0,1.482063054E0,1.155690479E0,1.279573683E0
2.038437958E0,1.548154717E0,7.960720986E-1,2.566182736E0
2.058409958E0,1.455794876E0,-4.027483204E-1,2.432798976E0
2.078381958E0,6.852046506E-1,-1.002869698E0,9.998013711E-1
2.098353958E0,-1.627834140E-1,-4.385709947E-1,-2.797845912E-1
2.118324958E0,-8.111604732E-3,-4.085180604E-1,-1.292467963E0
2.138296958E0,5.561179730E-1,-7.981276873E-1,-1.661233728E0
2.158268958E0,9.333185291E-1,-4.654749110E-1,-7.332946372E-1
2.178240958E0,1.125504375E0,-5.147172377E-1,-1.311220568E-1
2.198211958E0,1.057884907E0,-9.603823668E-1,-8.224483037E-1
2.218183958E0,6.891807573E-1,-9.652481273E-1,-2.144221927E0
2.238155958E0,2.791087992E-1,-7.512853503E-1,-3.484877964E0
2.258126958E0,-2.977127757E-1,-3.322218364E-1,-3.836106759E0
2.278098958E0,-4.817884234E-1,4.432189465E-4,-3.282171369E0
2.298070500E0,-3.707895958E-1,1.385021201E-1,-2.157369976E0
2.318041500E0,-1.353870068E-1,2.985483062E-1,-1.001844388E0
2.338013500E0,-2.565472446E-1,3.449825075E-1,5.011005342E-2
2.357985500E0,-3.905339985E-1,2.707120514E-1,8.920629144E-1
2.377957500E0,-4.443390903E-1,2.215255657E-1,1.023908272E0
2.397928500E0,-5.671892373E-1,3.969698095E-1,5.489816290E-1
2.417900500E0,-4.884934256E-1,1.183343132E0,4.006582332E-1
2.437872500E0,-2.286153147E-1,1.399712038E0,8.253029144E-1
2.457843500E0,-1.263204330E-1,1.513105921E0,1.839077377E0
2.477815500E0,-2.632816473E-1,9.793694454E-1,2.613551615E0
2.497787500E0,-1.013910410E0,7.766458941E-1,2.700261145E0
2.517759500E0,-1.429387096E0,9.967035162E-1,1.351382169E0
2.537730500E0,-5.149672061E-1,1.214528087E0,-9.421443164E-2
2.557702500E0,1.652936054E-1,1.453068758E0,5.794953239E-1
2.577674500E0,-8.736997336E-2,4.692624450E-1,2.156422142E0
2.597645500E0,-6.925582552E-1,-4.032508886E-1,2.118724558E0
2.617617500E0,-1.153892607E0,-2.820188123E-1,6.542765343E-1
2.637589500E0,-7.289235511E-1,2.336377805E-1,-1.188653573E0
2.657561500E0,-2.765348184E-1,5.233486050E-1,-1.694059997E0
2.677532500E0,-3.642479593E-2,2.316286772E-2,-4.246674854E-1
2.697504500E0,1.631685445E-1,-7.897901425E-1,1.044857091E0
2.717476500E0,1.208250918E-1,-1.461544004E0,8.817829245E-1
2.737447500E0,8.119596231E-2,-1.782376927E0,-5.629091120E-1
2.757419500E0,-1.828882245E-1,-1.586007544E0,-2.226365951E0
2.777391500E0,-1.719855062E-1,-1.268892282E0,-3.135833103E0
2.797363500E0,-1.988685917E-1,-8.051680273E-1,-2.949123906E0
2.817334500E0,-7.609365452E-2,-7.453264529E-1,-2.457307581E0
2.837306500E0,2.093982942E-2,-4.216289797E-1,-1.916191041E0
2.857278500E0,6.742099117E-2,1.256695282E-1,-1.590157898E0
2.877249500E0,-1.156908162E-2,3.657740369E-1,-1.062848974E0
2.897221500E0,-1.319366105E-1,7.705033940E-1,3.328995287E-2
2.917193500E0,-9.136248875E-2,7.907771525E-1,8.568351942E-1
2.937164500E0,1.883913863E-1,5.777388203E-1,1.453856378E0
2.957136500E0,5.249098847E-1,6.208810392E-1,2.620665337E0
2.977108500E0,7.699355563E-1,8.463289171E-2,3.551650243E0
2.997080500E0,5.231130353E-1,-2.206248021E-1,1.851369393E0
