"Time (s)","latitude","longitude","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.537199903E1,6.500703910E1,2.558388179E1,1.912321606E1,1.570452858E0,9.415054189E1,4.805682851E0,3.275660143E0
4.637199473E1,6.500703693E1,2.558391672E1,1.936262929E1,1.603732381E0,9.507703154E1,4.952397376E0,3.049310949E0
4.737199020E1,6.500703267E1,2.558395523E1,1.930136477E1,1.636291650E0,9.725959456E1,5.876242955E0,2.645829459E0
4.837198555E1,6.500703146E1,2.558401425E1,1.910683371E1,1.964781327E0,9.539567507E1,7.119697002E0,2.225063175E0
4.937198114E1,6.500704544E1,2.558403499E1,1.906078151E1,1.634089864E0,8.197144223E1,7.259064322E0,2.106086259E0
5.037197709E1,6.500704768E1,2.558410380E1,1.930449794E1,1.999505329E0,9.167266313E1,7.198351080E0,2.125626061E0
5.137197328E1,6.500702069E1,2.558412693E1,1.879955189E1,1.918191827E0,1.061850035E2,6.672493874E0,2.492899814E0
5.237197077E1,6.500704244E1,2.558408011E1,1.883078848E1,8.396529884E-1,2.489175964E1,6.853350124E0,2.679751757E0
5.337196660E1,6.500703062E1,2.558412553E1,1.872678618E1,8.830075560E-1,8.969913439E1,7.083103100E0,2.912263588E0
5.437196326E1,6.500704049E1,2.558417256E1,1.829058323E1,1.435363137E0,9.764234421E1,5.408745869E0,3.216515169E0
5.537195969E1,6.500702983E1,2.558421467E1,1.808897156E1,1.531926108E0,9.249642521E1,4.773737922E0,3.322042035E0
5.637195599E1,6.500701882E1,2.558425927E1,1.835377158E1,1.739628329E0,1.031980015E2,4.740490760E0,3.369315121E0
5.737195313E1,6.500702595E1,2.558431001E1,1.815778180E1,2.045598699E0,8.520757334E1,4.727456429E0,3.387579186E0
5.837194955E1,6.500701594E1,2.558431099E1,1.829995550E1,1.175749117E0,1.040675970E2,4.728356869E0,3.386322246E0
5.937194693E1,6.500701112E1,2.558433720E1,1.815669226E1,1.568722960E0,1.118015619E2,4.730542333E0,3.383268577E0
6.037194431E1,6.500700876E1,2.558437224E1,1.878094845E1,1.306153699E0,1.091679412E2,4.734633479E0,3.377540948E0
6.137194157E1,6.500700090E1,2.558441317E1,1.862376527E1,1.555330321E0,1.122818222E2,4.735740285E0,3.375988890E0
6.237193835E1,6.500699372E1,2.558445666E1,1.849227924E1,1.822082563E0,1.055975321E2,4.736936274E0,3.374310562E0
6.337193489E1,6.500698789E1,2.558448121E1,1.840531019E1,1.465598448E0,1.084966996E2,4.738799501E0,3.371693391E0
6.437193274E1,6.500698570E1,2.558451260E1,1.815078697E1,1.585117270E0,1.052301669E2,4.741339165E0,3.368121131E0
6.537192953E1,6.500698207E1,2.558454599E1,1.831531890E1,1.550368894E0,9.943450588E1,4.744460593E0,3.363722746E0
