"Time (s)","latitude","longitude","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.143717446E2,6.500574550E1,2.558250017E1,2.142577219E1,1.615582309E0,2.351068884E2,4.738165612E0,3.372584123E0
2.153717415E2,6.500574207E1,2.558246576E1,2.089385590E1,1.610253711E0,2.436988665E2,4.731000311E0,3.382628134E0
2.163717386E2,6.500573349E1,2.558243578E1,2.140604452E1,1.628043976E0,2.399644908E2,4.731408970E0,3.382056504E0
2.173717356E2,6.500572954E1,2.558240355E1,2.079749919E1,1.628722839E0,2.425249386E2,4.730738555E0,3.382994199E0
2.183717327E2,6.500571369E1,2.558237961E1,2.071739930E1,1.638873885E0,2.345758492E2,4.727878532E0,3.386990053E0
2.193717301E2,6.500570470E1,2.558234986E1,2.068551202E1,1.659411165E0,2.351049492E2,4.727128646E0,3.388036569E0
2.203717276E2,6.500569926E1,2.558231463E1,2.035061083E1,1.636573257E0,2.398565967E2,4.729551155E0,3.384654031E0
2.213717246E2,6.500568641E1,2.558228793E1,2.006874509E1,1.610555580E0,2.327234561E2,4.731664161E0,3.381699469E0
2.223717208E2,6.500567767E1,2.558225442E1,2.070007728E1,1.645461214E0,2.341926558E2,4.731818169E0,3.381483971E0
2.233717188E2,6.500566730E1,2.558222704E1,2.056807349E1,1.648881757E0,2.329672976E2,4.733600460E0,3.378988564E0
2.243717158E2,6.500566094E1,2.558219514E1,2.077131610E1,1.638358262E0,2.385647771E2,4.734357426E0,3.377927885E0
2.253717129E2,6.500565365E1,2.558216614E1,2.072599381E1,1.610263501E0,2.416535042E2,4.733220957E0,3.379520144E0
2.263717096E2,6.500564378E1,2.558213840E1,2.051781368E1,1.611952421E0,2.359690263E2,4.734931755E0,3.377122785E0
2.273717072E2,6.500563351E1,2.558211167E1,2.051984119E1,1.640127818E0,2.319826710E2,4.733277490E0,3.379440965E0
2.283717037E2,6.500562402E1,2.558208404E1,2.031859184E1,1.646805698E0,2.330884135E2,4.732811061E0,3.380094154E0
2.293717020E2,6.500561227E1,2.558206149E1,1.991382518E1,1.648951026E0,2.263748039E2,4.732114194E0,3.381069696E0
2.303716991E2,6.500560465E1,2.558202987E1,2.020974044E1,1.634128913E0,2.297858106E2,4.731789062E0,3.381524701E0
2.313716961E2,6.500559919E1,2.558199537E1,2.013499909E1,1.641854004E0,2.380719114E2,4.734080455E0,3.378316042E0
2.323716934E2,6.500558920E1,2.558196773E1,1.943754632E1,1.628558858E0,2.360945798E2,4.733795075E0,3.378715913E0
2.333716906E2,6.500557911E1,2.558193880E1,1.945742701E1,1.634074301E0,2.329819180E2,4.733057539E0,3.379749009E0
2.343716877E2,6.500557378E1,2.558190191E1,1.976685015E1,1.651925373E0,2.395898455E2,4.732959400E0,3.379886441E0
2.353716846E2,6.500556688E1,2.558187105E1,2.059980098E1,1.625126765E0,2.397825721E2,4.733502542E0,3.379125732E0
2.363716820E2,6.500555896E1,2.558184206E1,1.983352174E1,1.623801709E0,2.407738643E2,4.731483856E0,3.381951738E0
2.373716799E2,6.500554695E1,2.558181693E1,1.993847793E1,1.625666836E0,2.332570371E2,4.729528550E0,3.384685617E0
2.383716761E2,6.500553606E1,2.558179474E1,1.976736441E1,1.615803659E0,2.282914245E2,4.727722869E0,3.387207332E0
2.393716737E2,6.500551733E1,2.558179018E1,1.998899690E1,1.654917655E0,2.099413555E2,4.727594723E0,3.387386185E0
2.403716707E2,6.500550155E1,2.558179522E1,1.923113762E1,1.657256744E0,1.923082932E2,4.724859851E0,3.391199850E0
2.413716687E2,6.500548591E1,2.558181699E1,1.997694728E1,1.644199823E0,1.702749501E2,4.723476751E0,3.393126054E0
2.423716655E2,6.500547186E1,2.558183449E1,2.007654337E1,1.638972179E0,1.612889849E2,4.724850503E0,3.391212874E0
2.433716625E2,6.500545962E1,2.558185345E1,2.023103169E1,1.622891721E0,1.586437702E2,4.723934856E0,3.392488247E0
2.443716601E2,6.500544780E1,2.558187505E1,2.021683646E1,1.611419782E0,1.523110910E2,4.723769952E0,3.392717859E0
2.453716571E2,6.500543984E1,2.558191129E1,2.050811083E1,1.622260330E0,1.364099361E2,4.724599072E0,3.391563155E0
2.463716538E2,6.500542976E1,2.558193773E1,2.048255372E1,1.617139509E0,1.356971601E2,4.727424482E0,3.387623769E0
2.473716516E2,6.500541882E1,2.558196345E1,1.993985817E1,1.620908472E0,1.349598519E2,4.728376468E0,3.386294879E0
2.483716484E2,6.500540856E1,2.558198444E1,2.048532830E1,1.602378683E0,1.388344557E2,4.729816736E0,3.384282890E0
2.493716450E2,6.500539808E1,2.558200931E1,2.001564540E1,1.614884944E0,1.362635874E2,4.729041423E0,3.385366192E0
2.503716428E2,6.500539073E1,2.558203971E1,2.050137056E1,1.633001324E0,1.309936003E2,4.728157048E0,3.386601240E0
2.513716398E2,6.500537947E1,2.558206185E1,2.057908843E1,1.608502945E0,1.346920537E2,4.728766101E0,3.385750757E0
2.523716371E2,6.500537277E1,2.558209542E1,2.039499708E1,1.626881456E0,1.257701533E2,4.729753052E0,3.384371892E0
2.533716340E2,6.500536123E1,2.558211786E1,2.023452604E1,1.607303559E0,1.317459477E2,4.730125701E0,3.383851043E0
2.543716322E2,6.500535129E1,2.558214155E1,1.978344836E1,1.595364279E0,1.335581776E2,4.730514618E0,3.383307328E0
2.553716292E2,6.500533942E1,2.558216375E1,1.964586582E1,1.611089803E0,1.377223141E2,4.730153680E0,3.383811933E0
2.563716263E2,6.500532970E1,2.558218775E1,1.952020186E1,1.612704544E0,1.370425805E2,4.728744970E0,3.385780271E0
2.573719711E2,6.500531965E1,2.558221176E1,1.927975397E1,1.601520069E0,1.347591144E2,4.729462211E0,3.384778313E0
