"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.729239844628190E9,"2024-10-18 11:24:04.628 UTC+03:00"
"PAUSE",2.580825557083299E2,1.729240102709551E9,"2024-10-18 11:28:22.710 UTC+03:00"
